T average (derajat C),Sun Radiation (W/m2),RH Avg (%),Wind Direction (degree),Wind Speed Avg (m/s),Pressure Avg (hpA),Rain Rate (mm)
26.52986111,42.23402778,73.92569444,199.8493056,3.50625,999.9659722,0
26.15347222,36.74236111,75.67986111,203.3951389,2.929166667,998.9986111,0
26.07013889,29.82222222,76.56041667,153.8368056,2.672916667,999.3597222,0
25.63611111,39.40694444,74.2875,201.6736111,3.299305556,998.5256944,0
25.71319444,33.15902778,74.17222222,184.0645833,2.379166667,997.8625,0
25.72569444,30.12847222,72.20347222,174.5861111,2.677083333,997.2055556,0
26.22222222,23.53958333,82.87291667,195.8770833,3.013888889,997.7444444,1
27.48680556,28.77569444,78.64444444,173.3847222,3.54375,997.5604167,0
26.62638889,25.74027778,84.9125,216.9506944,2.715972222,997.9381944,5
26.32847222,24.10416667,85.59583333,201.6868056,2.288888889,998.2354167,0
26.54930556,38.26666667,74.96805556,127.0423611,2.741666667,999.0770833,0
26.39305556,32.44097222,73.88402778,164.6388889,2.924305556,1000.483333,0
26.56388889,37.04722222,75.57777778,173.5819444,1.9875,1000.159722,0
26.67777778,40.61111111,76.58333333,138.7027778,2.517361111,999.3277778,0
26.17916667,22.72430556,80.01527778,172.2590278,2.345833333,999.6798611,0
26.68958333,26.95138889,79.75138889,188.5958333,4.106944444,1000.180556,0
26.12361111,40.99791667,76.63888889,196.7923611,4.7375,999.8902778,0
26.35347222,30.41111111,76.69861111,193.2555556,3.646527778,1000.063889,0
26.30694444,42.39583333,76.08888889,199.8763889,5.045138889,999.7034722,0
26.26111111,31.42222222,75.90069444,199.9715278,4.15625,1000.414583,0
26.28402778,32.83819444,77.27083333,206.9986111,3.159722222,1000.116667,0
26.22430556,30.39930556,77.08541667,201.2055556,3.717361111,999.6333333,0
26.27291667,38.56736111,72.63194444,202.1006944,4.6875,999.1534722,0
25.35138889,45.53888889,66.66319444,202.3958333,6.688194444,999.3743056,0
25.15277778,42.53263889,67.59861111,203.1243056,5.953472222,999.0368056,0
25.72708333,39.42777778,72.24513889,201.2395833,4.925,998.5131944,0
25.97222222,37.51041667,71.98263889,197.0041667,4.588888889,998.7944444,0
26.20833333,38.78888889,72.64513889,196.7888889,4.735416667,998.9423611,0
26.6,44.88611111,72.39305556,198.9625,3.678472222,998.6569444,0
26.37291667,42.47430556,74.57361111,199.1722222,4.119444444,999.0111111,0
26.56319444,36.30763889,77.48611111,188,3.427083333,999.5055556,0
26.91666667,29.63680556,78.62222222,173.0090278,3.095833333,1000.055556,0
26.86944444,27.50138889,77.62847222,175.0618056,3.18125,1000.710417,0
26.85277778,37.67430556,77.40625,194.0354167,3.170138889,1000.465972,0
26.99166667,33.50416667,76.82986111,198.7388889,4.342361111,1000.440278,0
26.83333333,41.75138889,73.05555556,200.3493056,3.727083333,1000.272222,0
26.51388889,40.61736111,70.31597222,139.21875,3.190277778,1000.673611,0
26.68333333,40.73472222,69.85486111,203.2833333,4.955555556,1000.102083,0
26.29791667,27.08680556,73.21805556,183.4486111,2.434027778,998.8763889,0
27.33958333,36.88402778,71.89027778,130.6319444,3.095833333,999.7506944,0
26.69375,28.63958333,78.00625,193.8263889,3.936805556,1000.326389,0
26.95347222,34.22777778,74.67361111,194.6847222,3.461111111,999.8708333,0
26.41319444,39.81388889,75.27916667,198.9868056,5.290277778,999.74375,0
26.61736111,44.22986111,72.50694444,201.1444444,5.567361111,999.4784722,0
27.02222222,37.88680556,73.07013889,200.8868056,4.759722222,998.9006944,29
27.33055556,34.80833333,75.06736111,199.8305556,3.49375,999.1722222,0
26.09375,18.91180556,84.4,179.5638889,2.011111111,1000.174306,0
27.08263889,32.00763889,77.30902778,172.0625,3.161805556,999.1590278,0
26.48680556,38.61944444,64.40833333,183.1583333,3.099305556,998.1479167,0
26.19722222,35.75486111,71.75,185.3020833,2.852777778,998.25,0
26.76597222,36.45347222,74.77222222,188.2194444,3.61875,999.3145833,0
27.29479567,42.96135909,71.47998145,178.9407317,3.550474415,1000.242641,0
27.25357601,38.66139451,71.48743912,176.0052807,3.623558062,1000.129685,0.00138921
27.25357601,38.66139451,71.48743912,176.0052807,3.623558062,1000.129685,0
26.7740825,46.57713175,71.96761941,199.0001834,4.88554021,999.4649196,0
26.73958333,48.72083333,70.75347222,201.6381944,4.505555556,999.75625,0
26.78680556,37.79583333,74.05416667,200.5479167,4.309027778,1000.463194,0
27.12569444,37.93055556,74.80625,200.6763889,3.886111111,1000.535417,0
27.47638889,40.52013889,73.10416667,172.3333333,2.783333333,1000.286806,0
27.58055556,39.85902778,69.53333333,169.4694444,3.89375,1001.188194,0
27.74375,46.78125,63.83125,147.5138889,3.622916667,1001.375694,0
27.34097222,46.9125,65.20138889,182.9194444,3.9,1001.240278,0
26.37013889,49.29722222,62.83472222,195.4666667,4.905555556,1001.166667,0
25.32013889,36.53888889,65.27430556,210.2215278,4.239583333,1001.025694,0
26.52361111,45.38125,70.76875,196.4576389,3.482638889,998.8826389,0
27.21319444,32.02291667,70.91666667,124.8347222,2.825694444,998.7673611,0
27.27361111,35.39166667,73.25347222,124.025,2.740277778,999.8673611,0
28.3375,33.12083333,73.29930556,170.1680556,3.277083333,1000.150694,0
27.5,35.23541667,75.32777778,193.1486111,3.524305556,999.6270833,0
27.40208333,33.05069444,72.12222222,176.4743056,3.720833333,999.6173611,0
27.09097222,43.46597222,72.26388889,202.7215278,5.238888889,999.3645833,0
